               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057809,            0.040147,           0.0066295,              0.8152,             0.63945,              0.7064,             0.46377,            0.060508,            0.055296,           0.0082409,            0.070103,           0.0033218,           0.0033218
                   1,            0.061049,            0.041884,           0.0068339,             0.85036,             0.63851,             0.70949,             0.44666,            0.061323,            0.054792,           0.0081842,            0.040038,           0.0065893,           0.0065893
                   2,            0.064441,            0.045155,           0.0072225,             0.81655,             0.64869,             0.69717,             0.42339,            0.063557,            0.056741,           0.0088604,           0.0099057,           0.0097907,           0.0097907
                   3,            0.064829,            0.046323,           0.0076747,             0.82105,             0.62851,             0.69516,             0.43141,            0.061842,            0.056353,           0.0090805,            0.009703,            0.009703,            0.009703
                   4,            0.064004,             0.04559,           0.0077671,               0.808,              0.6319,             0.69047,             0.42618,            0.062861,            0.057245,           0.0089009,            0.009703,            0.009703,            0.009703
                   5,             0.06325,            0.045424,            0.007707,             0.80624,             0.64854,             0.69851,             0.43465,            0.061284,            0.055308,           0.0087442,            0.009604,            0.009604,            0.009604
                   6,            0.062504,            0.044645,           0.0076103,             0.81071,             0.64131,             0.69624,             0.42595,            0.061897,            0.055238,           0.0087427,            0.009505,            0.009505,            0.009505
                   7,            0.062304,            0.044425,           0.0075516,             0.82144,             0.64322,             0.70331,             0.43873,            0.061028,            0.054086,           0.0085836,            0.009406,            0.009406,            0.009406
                   8,            0.061623,             0.04481,           0.0074642,             0.81616,             0.64613,             0.70153,             0.44097,             0.06095,            0.055121,           0.0084645,            0.009307,            0.009307,            0.009307
                   9,             0.06176,            0.044295,           0.0075815,             0.83319,             0.64284,             0.71116,             0.44117,            0.061116,            0.054791,           0.0085699,            0.009208,            0.009208,            0.009208
                  10,            0.061323,            0.044171,           0.0075416,              0.8287,             0.64966,             0.70909,             0.44699,            0.060414,            0.053521,           0.0085497,            0.009109,            0.009109,            0.009109
                  11,            0.061222,            0.044175,           0.0074578,             0.82104,              0.6518,              0.7067,             0.44233,            0.060538,            0.054022,           0.0086038,             0.00901,             0.00901,             0.00901
                  12,            0.060953,            0.043588,           0.0073495,              0.8361,             0.65419,             0.71104,             0.44504,            0.060295,            0.053692,           0.0084634,            0.008911,            0.008911,            0.008911
                  13,            0.060897,            0.043766,           0.0074317,             0.77096,             0.63968,             0.69412,             0.43685,            0.060777,            0.054718,           0.0085874,            0.008812,            0.008812,            0.008812
                  14,            0.060616,            0.043348,           0.0073629,             0.81166,             0.65172,             0.70984,             0.45012,            0.060255,            0.054084,           0.0084301,            0.008713,            0.008713,            0.008713
                  15,            0.060658,            0.043281,           0.0073642,             0.82862,             0.66287,             0.71359,             0.45124,            0.060259,            0.054205,           0.0083166,            0.008614,            0.008614,            0.008614
                  16,             0.06018,            0.043205,           0.0072936,             0.79505,             0.65791,             0.70605,             0.44819,            0.060151,            0.054447,           0.0083547,            0.008515,            0.008515,            0.008515
                  17,             0.06007,            0.043193,           0.0072612,             0.82761,             0.65927,             0.71457,             0.45264,            0.060167,            0.053776,           0.0082646,            0.008416,            0.008416,            0.008416
                  18,             0.05989,             0.04273,           0.0072689,             0.82254,             0.65277,              0.7121,             0.45215,            0.059811,             0.05422,            0.008373,            0.008317,            0.008317,            0.008317
                  19,            0.060068,              0.0429,           0.0072309,             0.79281,             0.65655,             0.70505,             0.45094,            0.060209,            0.054477,           0.0082705,            0.008218,            0.008218,            0.008218
                  20,            0.059536,            0.042857,            0.007217,             0.84068,              0.6642,             0.72029,             0.45939,            0.059842,             0.05351,           0.0083305,            0.008119,            0.008119,            0.008119
                  21,            0.059722,            0.042766,           0.0071958,             0.79898,             0.65608,             0.70978,             0.45242,            0.059831,            0.054446,           0.0082728,             0.00802,             0.00802,             0.00802
                  22,            0.059249,            0.042335,           0.0071365,             0.81345,             0.63744,             0.70099,             0.45275,            0.059672,            0.053884,           0.0084143,            0.007921,            0.007921,            0.007921
                  23,            0.059604,            0.042718,           0.0071737,             0.83154,             0.65616,              0.7199,             0.46235,            0.059508,            0.053654,           0.0082001,            0.007822,            0.007822,            0.007822
                  24,            0.059493,            0.042738,           0.0071783,             0.83171,             0.65599,             0.71909,             0.46315,            0.059575,            0.053867,           0.0082687,            0.007723,            0.007723,            0.007723
                  25,            0.059061,            0.041933,           0.0071029,             0.80101,             0.64457,             0.70932,             0.45614,            0.059579,            0.053854,            0.008238,            0.007624,            0.007624,            0.007624
                  26,            0.059118,            0.042172,           0.0071127,             0.81377,             0.65774,             0.71597,             0.45978,            0.059509,            0.053734,           0.0082206,            0.007525,            0.007525,            0.007525
                  27,            0.059277,            0.042124,           0.0071948,             0.81872,             0.65883,             0.72101,             0.46395,            0.059573,            0.053895,           0.0082048,            0.007426,            0.007426,            0.007426
                  28,            0.058897,            0.042096,           0.0070758,             0.82826,              0.6706,             0.71923,             0.46313,            0.059334,            0.053092,           0.0082141,            0.007327,            0.007327,            0.007327
                  29,            0.058955,            0.042359,           0.0071016,             0.81277,             0.66212,             0.71208,             0.46004,            0.059249,            0.053404,           0.0080986,            0.007228,            0.007228,            0.007228
                  30,            0.058706,            0.041672,            0.007087,             0.82407,             0.65477,             0.72016,             0.46136,            0.059306,            0.053611,           0.0081112,            0.007129,            0.007129,            0.007129
                  31,            0.058701,            0.041851,           0.0070601,             0.80707,             0.66743,             0.72169,             0.46783,            0.059056,            0.053213,           0.0081234,             0.00703,             0.00703,             0.00703
                  32,            0.058475,            0.041499,           0.0069945,             0.80352,             0.66115,             0.71876,             0.46508,            0.059089,            0.053149,           0.0080675,            0.006931,            0.006931,            0.006931
                  33,            0.058508,            0.041573,           0.0069852,             0.79926,              0.6734,              0.7229,              0.4703,            0.058971,            0.053302,           0.0080937,            0.006832,            0.006832,            0.006832
                  34,            0.058289,            0.041679,           0.0069728,             0.81994,             0.65228,             0.71493,             0.46285,             0.05916,            0.053614,           0.0080492,            0.006733,            0.006733,            0.006733
                  35,             0.05845,            0.042059,           0.0070415,             0.83065,             0.67169,             0.72728,             0.47278,            0.058977,            0.053042,             0.00804,            0.006634,            0.006634,            0.006634
                  36,             0.05862,            0.042109,           0.0070553,             0.81308,             0.65511,             0.71516,             0.46533,               0.059,            0.053616,           0.0080749,            0.006535,            0.006535,            0.006535
                  37,            0.058252,            0.041179,           0.0069312,             0.84052,             0.66162,              0.7226,             0.46885,             0.05889,            0.053401,           0.0080938,            0.006436,            0.006436,            0.006436
                  38,            0.058131,            0.041399,           0.0068948,             0.84174,              0.6614,             0.72061,             0.46977,             0.05902,            0.053553,            0.008193,            0.006337,            0.006337,            0.006337
                  39,            0.057999,            0.041242,            0.006921,             0.81061,             0.66545,             0.72366,             0.46968,            0.058943,            0.053468,           0.0080045,            0.006238,            0.006238,            0.006238
                  40,            0.058113,            0.041593,           0.0069512,             0.81865,             0.65542,             0.72148,             0.46941,            0.058938,            0.053284,           0.0081158,            0.006139,            0.006139,            0.006139
                  41,             0.05803,            0.041857,           0.0069108,              0.8094,             0.66752,             0.72249,             0.47054,             0.05879,            0.053035,           0.0080888,             0.00604,             0.00604,             0.00604
                  42,            0.057576,            0.041213,           0.0068069,             0.80927,             0.67045,             0.72279,             0.47214,            0.058705,             0.05313,           0.0081174,            0.005941,            0.005941,            0.005941
                  43,            0.057764,            0.041197,            0.006841,             0.83423,             0.64706,             0.71855,             0.46934,            0.058709,            0.053247,           0.0080035,            0.005842,            0.005842,            0.005842
                  44,            0.057645,              0.0414,           0.0067854,              0.8304,             0.66379,             0.72897,             0.47627,            0.058573,            0.053143,           0.0079439,            0.005743,            0.005743,            0.005743
                  45,            0.057655,            0.041021,           0.0067909,             0.83639,             0.66582,             0.72446,             0.47263,            0.058629,            0.052976,           0.0078979,            0.005644,            0.005644,            0.005644
                  46,            0.057332,            0.040777,           0.0067878,             0.80148,             0.66764,             0.72115,             0.47189,            0.058701,            0.053335,           0.0079839,            0.005545,            0.005545,            0.005545
                  47,            0.057418,            0.040885,           0.0068591,             0.80864,             0.66943,             0.72143,             0.47123,            0.058691,            0.053168,           0.0080273,            0.005446,            0.005446,            0.005446
                  48,            0.057205,            0.040569,            0.006796,             0.83816,              0.6688,             0.73006,             0.47744,            0.058504,            0.053065,           0.0078944,            0.005347,            0.005347,            0.005347
                  49,            0.057547,            0.040986,           0.0068111,             0.85254,             0.66771,              0.7348,             0.47929,            0.058499,            0.052665,           0.0079103,            0.005248,            0.005248,            0.005248
                  50,            0.057214,            0.040094,           0.0068146,             0.83495,             0.65801,             0.72626,             0.47469,              0.0585,            0.053195,           0.0079995,            0.005149,            0.005149,            0.005149
                  51,             0.05713,            0.040408,           0.0068451,             0.84418,             0.66811,             0.72916,             0.47636,            0.058448,            0.053182,            0.007904,             0.00505,             0.00505,             0.00505
                  52,            0.056874,            0.040036,           0.0067701,             0.84374,             0.66026,             0.72833,             0.47659,            0.058455,            0.053047,           0.0079097,            0.004951,            0.004951,            0.004951
                  53,            0.056876,            0.040163,            0.006701,             0.85227,             0.64866,             0.72206,             0.47449,            0.058471,            0.053267,            0.008027,            0.004852,            0.004852,            0.004852
                  54,            0.056882,            0.040597,           0.0067925,             0.83495,             0.66439,             0.72777,             0.47669,            0.058393,            0.052905,           0.0079002,            0.004753,            0.004753,            0.004753
                  55,             0.05685,            0.040303,           0.0067683,             0.83953,             0.66876,             0.73427,             0.48168,            0.058356,             0.05269,           0.0078534,            0.004654,            0.004654,            0.004654
                  56,            0.057044,            0.040222,           0.0067366,             0.84936,             0.66504,             0.72936,              0.4779,            0.058452,            0.052884,           0.0079846,            0.004555,            0.004555,            0.004555
                  57,            0.056812,            0.040089,            0.006686,             0.83731,             0.66483,             0.72731,             0.47698,            0.058399,            0.052902,            0.007945,            0.004456,            0.004456,            0.004456
                  58,            0.056508,            0.039783,           0.0066759,             0.84958,             0.66175,             0.73037,             0.47784,            0.058395,            0.053021,           0.0079329,            0.004357,            0.004357,            0.004357
                  59,            0.056331,            0.039862,           0.0066664,             0.85434,             0.66713,              0.7333,             0.48036,            0.058306,            0.052923,           0.0079185,            0.004258,            0.004258,            0.004258
                  60,            0.056604,            0.040042,           0.0066872,             0.84515,             0.65872,             0.72943,              0.4789,             0.05833,            0.053016,           0.0079033,            0.004159,            0.004159,            0.004159
                  61,             0.05644,            0.039717,           0.0065952,             0.83737,              0.6675,             0.72995,             0.47789,            0.058308,            0.052997,           0.0078651,             0.00406,             0.00406,             0.00406
                  62,            0.056293,            0.039259,           0.0066163,             0.84413,             0.66681,             0.73074,             0.47981,             0.05828,            0.052938,           0.0078794,            0.003961,            0.003961,            0.003961
                  63,            0.056228,            0.039587,           0.0066486,             0.85079,             0.65958,             0.73011,             0.48004,            0.058231,            0.053088,           0.0078311,            0.003862,            0.003862,            0.003862
                  64,             0.05623,            0.039553,           0.0065814,             0.84931,             0.66252,             0.73257,             0.48166,            0.058193,            0.053066,           0.0078309,            0.003763,            0.003763,            0.003763
                  65,             0.05601,            0.039241,           0.0065183,              0.8511,             0.65904,             0.73052,             0.48105,            0.058201,            0.053098,           0.0078904,            0.003664,            0.003664,            0.003664
                  66,             0.05605,            0.039312,           0.0065858,             0.83887,             0.66178,             0.72714,             0.47913,            0.058193,            0.053051,           0.0079113,            0.003565,            0.003565,            0.003565
                  67,            0.056118,            0.039359,           0.0065728,             0.83405,             0.65809,             0.72517,             0.47776,            0.058191,            0.053164,           0.0079115,            0.003466,            0.003466,            0.003466
                  68,            0.056096,            0.039389,           0.0065137,             0.83742,             0.65991,             0.72585,             0.47852,            0.058182,              0.0532,           0.0079101,            0.003367,            0.003367,            0.003367
                  69,            0.055894,            0.038964,           0.0065691,             0.86509,             0.65989,             0.73288,             0.48369,            0.058105,            0.052907,           0.0078959,            0.003268,            0.003268,            0.003268
                  70,            0.055835,            0.039244,           0.0065174,             0.86281,             0.65694,             0.73313,             0.48301,            0.058131,            0.053004,           0.0078739,            0.003169,            0.003169,            0.003169
                  71,            0.056036,            0.039184,           0.0065958,             0.85935,             0.65524,              0.7323,             0.48301,            0.058115,            0.053029,           0.0078571,             0.00307,             0.00307,             0.00307
                  72,            0.056105,            0.038925,           0.0065828,             0.85449,              0.6595,             0.73139,             0.48289,             0.05812,            0.053035,           0.0078705,            0.002971,            0.002971,            0.002971
                  73,            0.055765,            0.039088,           0.0064899,             0.86482,             0.65572,              0.7317,             0.48371,            0.058073,            0.053088,           0.0078561,            0.002872,            0.002872,            0.002872
                  74,            0.055468,            0.038946,           0.0065145,             0.86422,             0.66032,             0.73365,             0.48342,             0.05802,             0.05302,           0.0078446,            0.002773,            0.002773,            0.002773
                  75,            0.055759,            0.038835,           0.0065256,             0.86091,             0.65944,             0.73254,             0.48375,            0.058006,            0.053042,           0.0078466,            0.002674,            0.002674,            0.002674
                  76,            0.055507,            0.038547,           0.0065123,             0.85443,             0.66076,             0.73211,             0.48421,             0.05803,            0.053089,           0.0078677,            0.002575,            0.002575,            0.002575
                  77,            0.055618,            0.038676,           0.0064497,              0.8545,              0.6598,             0.73239,              0.4841,            0.058014,            0.053122,           0.0078576,            0.002476,            0.002476,            0.002476
                  78,            0.055522,            0.038499,            0.006455,             0.86105,             0.65994,             0.73283,             0.48506,            0.058001,            0.053086,           0.0078601,            0.002377,            0.002377,            0.002377
                  79,            0.055433,            0.038363,           0.0064651,             0.85744,             0.66355,             0.73422,             0.48511,            0.057998,            0.053075,           0.0078723,            0.002278,            0.002278,            0.002278
                  80,            0.055581,            0.038687,           0.0064856,             0.85973,             0.65945,             0.73525,             0.48577,            0.057992,            0.053072,           0.0078618,            0.002179,            0.002179,            0.002179
                  81,            0.055472,            0.038031,           0.0064222,             0.85221,             0.66788,              0.7363,             0.48612,            0.057983,            0.053045,           0.0078711,             0.00208,             0.00208,             0.00208
                  82,              0.0553,            0.037907,            0.006458,             0.85432,             0.66543,             0.73476,             0.48516,            0.058005,            0.053122,           0.0078788,            0.001981,            0.001981,            0.001981
                  83,            0.055225,            0.038482,           0.0063573,             0.85847,               0.658,             0.73442,             0.48578,            0.057987,            0.053168,           0.0079182,            0.001882,            0.001882,            0.001882
                  84,            0.055124,            0.038334,           0.0063417,             0.86523,             0.65604,             0.73279,             0.48521,            0.057994,            0.053223,           0.0079382,            0.001783,            0.001783,            0.001783
                  85,             0.05533,            0.038216,           0.0064047,             0.86544,             0.65714,             0.73337,             0.48528,            0.057995,            0.053316,           0.0079396,            0.001684,            0.001684,            0.001684
                  86,              0.0548,            0.038045,           0.0063401,             0.87026,             0.65572,             0.73383,             0.48555,            0.057999,            0.053346,            0.007946,            0.001585,            0.001585,            0.001585
                  87,            0.055038,            0.038079,           0.0063244,             0.87182,             0.65391,             0.73215,             0.48501,            0.057998,             0.05337,           0.0079523,            0.001486,            0.001486,            0.001486
                  88,            0.054376,            0.037323,           0.0062532,             0.87212,             0.65673,             0.73246,             0.48535,             0.05799,            0.053375,           0.0079653,            0.001387,            0.001387,            0.001387
                  89,            0.054868,            0.037885,           0.0063508,             0.87001,             0.65633,             0.73228,             0.48555,            0.057981,            0.053441,           0.0079772,            0.001288,            0.001288,            0.001288
                  90,            0.054477,            0.037556,            0.006271,             0.86551,              0.6586,             0.73343,             0.48667,            0.057962,            0.053421,           0.0079831,            0.001189,            0.001189,            0.001189
                  91,            0.054417,             0.03731,           0.0062267,             0.86619,             0.65786,              0.7344,             0.48734,            0.057947,            0.053431,           0.0079873,             0.00109,             0.00109,             0.00109
                  92,            0.054628,            0.037951,           0.0063026,             0.86686,             0.65942,             0.73519,             0.48734,             0.05794,            0.053435,           0.0079923,            0.000991,            0.000991,            0.000991
                  93,             0.05421,            0.037255,            0.006177,             0.86683,             0.65895,             0.73475,             0.48713,            0.057939,            0.053482,           0.0079925,            0.000892,            0.000892,            0.000892
                  94,            0.054629,            0.037631,           0.0063397,             0.86766,              0.6594,             0.73588,             0.48811,            0.057938,            0.053497,           0.0079921,            0.000793,            0.000793,            0.000793
                  95,            0.054342,             0.03711,           0.0062834,             0.86867,             0.65862,             0.73623,             0.48864,            0.057943,            0.053525,           0.0079971,            0.000694,            0.000694,            0.000694
                  96,            0.054431,            0.036965,           0.0062794,             0.87403,             0.65676,             0.73656,             0.48933,             0.05794,            0.053543,           0.0080039,            0.000595,            0.000595,            0.000595
                  97,            0.054326,            0.037553,           0.0061977,             0.87112,             0.65892,             0.73674,             0.48942,            0.057937,             0.05357,           0.0080102,            0.000496,            0.000496,            0.000496
                  98,            0.054085,            0.037094,           0.0061906,              0.8771,             0.65448,             0.73685,             0.48996,            0.057934,            0.053574,           0.0080158,            0.000397,            0.000397,            0.000397
                  99,             0.05413,            0.036767,           0.0062464,              0.8704,             0.65679,             0.73657,              0.4899,            0.057934,            0.053593,           0.0080208,            0.000298,            0.000298,            0.000298
